analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
inventory_only,not_available,not_available,HIKARI-2021,Ground truth or task context is evaluation-only.,labels.attack,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,Ground truth or task context is evaluation-only.,labels.binary,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,Ground truth or task context is evaluation-only.,labels.category,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,Ground truth or task context is evaluation-only.,labels.family,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,Ground truth or task context is evaluation-only.,labels.tool,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.capture_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.capture_path,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.dataset,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.source_file,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",sample_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.duration,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.inbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.mean_packet_length,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.outbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.outbound_ratio,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.packet_count,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Feature is currently native to a limited dataset/schema and requires scoped validation.,stats.packet_length_variance,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.total_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,HIKARI-2021,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",trace_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_port,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.flow_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.sni,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.src_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.src_port,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Ground truth or task context is evaluation-only.,labels.application,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Ground truth or task context is evaluation-only.,labels.attack,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Ground truth or task context is evaluation-only.,labels.binary,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Ground truth or task context is evaluation-only.,labels.category,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Ground truth or task context is evaluation-only.,labels.family,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Ground truth or task context is evaluation-only.,labels.tool,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.capture_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.capture_path,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.dataset,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.source_file,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",sample_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.duration,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.inbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.mean_packet_length,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.outbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.outbound_ratio,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.packet_count,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,Annotated-TLS-2026,Canonical aggregate is present across at least four audited datasets.,stats.total_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.alpn,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.client_cipher_count,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.client_extension_count,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.client_version,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.record_lengths,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.selected_cipher,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.server_extension_count,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.server_version,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,Annotated-TLS-2026,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",trace_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
